"[0.011958837509155273, 0.0007824897766113281]"
"[0.01047825813293457, 0.0007548332214355469]"
"[0.010600805282592773, 0.0014128684997558594]"
"[0.01053309440612793, 0.00090789794921875]"
"[0.01144266128540039, 0.002056121826171875]"
"[0.010193824768066406, 0.0008215904235839844]"
"[0.010601043701171875, 0.0007517337799072266]"
"[0.010170221328735352, 0.0007300376892089844]"
"[0.010878801345825195, 0.001348257064819336]"
"[0.010233163833618164, 0.0007748603820800781]"
"[0.010226964950561523, 0.0007421970367431641]"
"[0.010899066925048828, 0.0008234977722167969]"
"[0.010238885879516602, 0.0009593963623046875]"
"[0.010376214981079102, 0.0009284019470214844]"
"[0.010981559753417969, 0.0012497901916503906]"
"[0.01037907600402832, 0.0008609294891357422]"
